experiment,instance,dataset,n,m,graph_density,graph_components,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,encoding_variant,golden_standard,preprocessing_enabled,treedepth,time,status,timeout,problem_variables,problem_constraints,preprocessing_reduction,gurobi_objval,gurobi_mip_gap,gurobi_node_count,memory_usage_mb,is_correct,validation_status,error_type
E4_3_preprocessing,Brinkmann,famous,21,42,0.2,1,True,True,2,v1_baseline,11.0,False,12.0,120.08922791481018,timeout,True,925,1869,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Brinkmann,famous,21,42,0.2,1,True,True,2,v1_baseline,11.0,True,12.0,120.10459113121033,timeout,True,925,1869,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Bull,famous,5,5,0.5,1,True,True,2,v1_baseline,3.0,False,3.0,0.005244016647338867,optimal,False,61,120,0.0,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Bull,famous,5,5,0.5,1,True,True,2,v1_baseline,3.0,True,3.0,0.006341695785522461,optimal,False,61,120,0.0,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Butterfly,famous,5,6,0.6,1,True,True,2,v1_baseline,3.0,False,3.0,0.006542205810546875,optimal,False,61,121,0.0,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Butterfly,famous,5,6,0.6,1,True,True,2,v1_baseline,3.0,True,3.0,0.00500178337097168,optimal,False,26,46,0.19999999999999996,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Chvatal,famous,12,24,0.3636,1,True,True,2,v1_baseline,8.0,False,8.0,3.8451642990112305,optimal,False,313,636,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Chvatal,famous,12,24,0.3636,1,True,True,2,v1_baseline,8.0,True,8.0,3.7346954345703125,optimal,False,313,636,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Clebsch,famous,16,40,0.3333,1,True,True,2,v1_baseline,10.0,False,10.0,23.797979831695557,optimal,False,545,1112,0.0,10.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Clebsch,famous,16,40,0.3333,1,True,True,2,v1_baseline,10.0,True,10.0,23.593419551849365,optimal,False,545,1112,0.0,10.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Desargues,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,False,11.0,120.11845231056213,timeout,True,841,1690,0.0,11.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Desargues,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,True,12.0,120.13466906547546,timeout,True,841,1690,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Diamond,famous,4,5,0.8333,1,True,True,2,v1_baseline,3.0,False,3.0,0.005089759826660156,optimal,False,41,81,0.0,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Diamond,famous,4,5,0.8333,1,True,True,2,v1_baseline,3.0,True,3.0,0.001005411148071289,optimal,False,0,0,0.5,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Dodecahedron,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,False,10.0,120.10413122177124,timeout,True,841,1690,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Dodecahedron,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,True,10.0,120.11095333099365,timeout,True,841,1690,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Durer,famous,12,18,0.2727,1,True,True,2,v1_baseline,7.0,False,7.0,2.836817502975464,optimal,False,313,630,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Durer,famous,12,18,0.2727,1,True,True,2,v1_baseline,7.0,True,7.0,2.7768611907958984,optimal,False,313,630,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Errera,famous,17,45,0.3309,1,True,True,2,v1_baseline,10.0,False,10.0,120.07670187950134,timeout,True,613,1252,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Errera,famous,17,45,0.3309,1,True,True,2,v1_baseline,10.0,True,10.0,120.06910920143127,timeout,True,613,1252,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,FlowerSnark,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,False,10.0,120.11153268814087,timeout,True,841,1690,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,FlowerSnark,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,True,10.0,120.11672520637512,timeout,True,841,1690,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Folkman,famous,20,40,0.2105,1,True,True,2,v1_baseline,9.0,False,10.0,120.10446429252625,timeout,True,841,1700,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Folkman,famous,20,40,0.2105,1,True,True,2,v1_baseline,9.0,True,10.0,120.10345101356506,timeout,True,841,1700,0.0,10.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Franklin,famous,12,18,0.2727,1,True,True,2,v1_baseline,7.0,False,7.0,4.403086423873901,optimal,False,313,630,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Franklin,famous,12,18,0.2727,1,True,True,2,v1_baseline,7.0,True,7.0,4.359740734100342,optimal,False,313,630,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Frucht,famous,12,18,0.2727,1,True,True,2,v1_baseline,6.0,False,6.0,2.226792573928833,optimal,False,313,630,0.0,6.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Frucht,famous,12,18,0.2727,1,True,True,2,v1_baseline,6.0,True,6.0,2.0449419021606445,optimal,False,313,630,0.0,6.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Goldner,famous,11,27,0.4909,1,True,True,2,v1_baseline,5.0,False,5.0,0.06653118133544922,optimal,False,265,544,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Goldner,famous,11,27,0.4909,1,True,True,2,v1_baseline,5.0,True,5.0,0.0648648738861084,optimal,False,265,544,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Grotzsch,famous,11,20,0.3636,1,True,True,2,v1_baseline,7.0,False,7.0,1.2565863132476807,optimal,False,265,537,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Grotzsch,famous,11,20,0.3636,1,True,True,2,v1_baseline,7.0,True,7.0,1.247420310974121,optimal,False,265,537,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Herschel,famous,11,18,0.3273,1,True,True,2,v1_baseline,5.0,False,5.0,0.5907468795776367,optimal,False,265,535,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Herschel,famous,11,18,0.3273,1,True,True,2,v1_baseline,5.0,True,5.0,0.594994068145752,optimal,False,265,535,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Hoffman,famous,16,32,0.2667,1,True,True,2,v1_baseline,8.0,False,8.0,83.39322066307068,optimal,False,545,1104,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Hoffman,famous,16,32,0.2667,1,True,True,2,v1_baseline,8.0,True,8.0,82.41458702087402,optimal,False,545,1104,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Holt,famous,27,54,0.1538,1,True,True,2,v1_baseline,,False,22.0,120.15443158149719,timeout,True,1513,3051,0.0,22.0,0.0,0,0.0,,no_golden_standard,
E4_3_preprocessing,Holt,famous,27,54,0.1538,1,True,True,2,v1_baseline,,True,22.0,120.16461324691772,timeout,True,1513,3051,0.0,22.0,0.0,0,0.0,,no_golden_standard,
E4_3_preprocessing,Kittell,famous,23,63,0.249,1,True,True,2,v1_baseline,12.0,False,16.0,120.11825895309448,timeout,True,1105,2248,0.0,16.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Kittell,famous,23,63,0.249,1,True,True,2,v1_baseline,12.0,True,16.0,120.1160798072815,timeout,True,1105,2248,0.0,16.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,McGee,famous,24,36,0.1304,1,True,True,2,v1_baseline,11.0,False,20.0,120.18469619750977,timeout,True,1201,2412,0.0,20.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,McGee,famous,24,36,0.1304,1,True,True,2,v1_baseline,11.0,True,20.0,120.19745469093323,timeout,True,1201,2412,0.0,20.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Moser,famous,7,11,0.5238,1,True,True,2,v1_baseline,5.0,False,5.0,0.26201605796813965,optimal,False,113,228,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Moser,famous,7,11,0.5238,1,True,True,2,v1_baseline,5.0,True,5.0,0.27017784118652344,optimal,False,113,228,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Nauru,famous,24,36,0.1304,1,True,True,2,v1_baseline,10.0,False,,120.25064539909363,failed,True,0,0,0.0,,0.0,0,0.0,False,failed,failed_to_solve
E4_3_preprocessing,Nauru,famous,24,36,0.1304,1,True,True,2,v1_baseline,10.0,True,,120.23669981956482,failed,True,0,0,0.0,,0.0,0,0.0,False,failed,failed_to_solve
E4_3_preprocessing,Paley13,famous,13,39,0.5,1,True,True,2,v1_baseline,10.0,False,10.0,8.76855993270874,optimal,False,365,754,0.0,10.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Paley13,famous,13,39,0.5,1,True,True,2,v1_baseline,10.0,True,10.0,8.572872877120972,optimal,False,365,754,0.0,10.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Pappus,famous,18,27,0.1765,1,True,True,2,v1_baseline,8.0,False,9.0,120.09355306625366,timeout,True,685,1377,0.0,9.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Pappus,famous,18,27,0.1765,1,True,True,2,v1_baseline,8.0,True,9.0,120.09783577919006,timeout,True,685,1377,0.0,9.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Petersen,famous,10,15,0.3333,1,True,True,2,v1_baseline,6.0,False,6.0,0.5529830455780029,optimal,False,221,445,0.0,6.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Petersen,famous,10,15,0.3333,1,True,True,2,v1_baseline,6.0,True,6.0,0.5181539058685303,optimal,False,221,445,0.0,6.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Pmin,famous,9,12,0.3333,1,True,True,2,v1_baseline,5.0,False,5.0,0.5268189907073975,optimal,False,181,363,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Pmin,famous,9,12,0.3333,1,True,True,2,v1_baseline,5.0,True,5.0,0.5372986793518066,optimal,False,181,363,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Poussin,famous,15,39,0.3714,1,True,True,2,v1_baseline,9.0,False,9.0,15.195247888565063,optimal,False,481,984,0.0,9.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Poussin,famous,15,39,0.3714,1,True,True,2,v1_baseline,9.0,True,9.0,14.891122817993164,optimal,False,481,984,0.0,9.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Prism,famous,6,9,0.6,1,True,True,2,v1_baseline,5.0,False,5.0,0.20735955238342285,optimal,False,85,171,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Prism,famous,6,9,0.6,1,True,True,2,v1_baseline,5.0,True,5.0,0.20902228355407715,optimal,False,85,171,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Robertson,famous,19,38,0.2222,1,True,True,2,v1_baseline,10.0,False,12.0,120.08865809440613,timeout,True,761,1539,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Robertson,famous,19,38,0.2222,1,True,True,2,v1_baseline,10.0,True,12.0,120.10175395011902,timeout,True,761,1539,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Shrikhande,famous,16,48,0.4,1,True,True,2,v1_baseline,11.0,False,11.0,120.05684185028076,timeout,True,545,1120,0.0,11.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Shrikhande,famous,16,48,0.4,1,True,True,2,v1_baseline,11.0,True,11.0,120.05713748931885,timeout,True,545,1120,0.0,11.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Sousselier,famous,16,27,0.225,1,True,True,2,v1_baseline,8.0,False,8.0,20.43953013420105,optimal,False,545,1099,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Sousselier,famous,16,27,0.225,1,True,True,2,v1_baseline,8.0,True,8.0,20.04324746131897,optimal,False,545,1099,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Tietze,famous,12,18,0.2727,1,True,True,2,v1_baseline,7.0,False,7.0,7.246086597442627,optimal,False,313,630,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Tietze,famous,12,18,0.2727,1,True,True,2,v1_baseline,7.0,True,7.0,7.177228927612305,optimal,False,313,630,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Wagner,famous,8,12,0.4286,1,True,True,2,v1_baseline,6.0,False,6.0,0.23061180114746094,optimal,False,145,292,0.0,6.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Wagner,famous,8,12,0.4286,1,True,True,2,v1_baseline,6.0,True,6.0,0.2292337417602539,optimal,False,145,292,0.0,6.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Watsin,famous,50,75,0.0612,1,True,True,2,v1_baseline,,False,35.0,120.20018267631531,timeout,True,5101,10225,0.0,35.0,0.0,0,0.0,,no_golden_standard,
E4_3_preprocessing,Watsin,famous,50,75,0.0612,1,True,True,2,v1_baseline,,True,35.0,120.19655156135559,timeout,True,5101,10225,0.0,35.0,0.0,0,0.0,,no_golden_standard,
E4_3_preprocessing,3x3-grid,standard,9,12,0.3333,1,True,True,2,v1_baseline,5.0,False,5.0,0.5616436004638672,optimal,False,181,363,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,3x3-grid,standard,9,12,0.3333,1,True,True,2,v1_baseline,5.0,True,5.0,0.5443649291992188,optimal,False,181,363,0.0,5.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,4x4-grid,standard,16,24,0.2,1,True,True,2,v1_baseline,7.0,False,7.0,23.136423110961914,optimal,False,545,1096,0.0,7.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,4x4-grid,standard,16,24,0.2,1,True,True,2,v1_baseline,7.0,True,7.0,24.378544569015503,optimal,False,545,1096,0.0,7.0,0.0,0,0.0,True,correct_optimal,
