experiment,instance,dataset,size_category,n,m,encoding_variant,variant_description,treedepth,time,status,timeout,preprocessing_enabled,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,problem_variables,problem_constraints,gurobi_objval,gurobi_mip_gap,gurobi_node_count,graph_density,graph_components,preprocessing_reduction,memory_usage_mb,golden_standard,is_correct,validation_status,error_type
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v1_baseline,基线编码 - 基础ILP约束,11.0,120.158,timeout,True,False,False,False,2,925,9849,11.0,0.2727272727272727,18802,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v2_explicit_transitivity,显式传递性 - 添加传递性约束,12.0,120.205,timeout,True,False,False,False,2,925,10305,12.0,0.3333333333333333,25140,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v3_tight_bounds,更紧边界 - 增强邻居约束,11.0,120.169,timeout,True,False,False,False,2,925,9870,11.0,0.2727272727272727,22964,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v4_with_symmetry,对称性破缺 - 减少对称解,11.0,120.168,timeout,True,False,False,False,2,925,10515,11.0,0.2727272727272727,21394,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v5_enhanced_constraints,增强约束 - 组合多种改进,12.0,120.136,timeout,True,False,False,False,2,925,10536,12.0,0.3333333333333333,25450,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v6_with_redundant,冗余约束 - 添加额外有效不等式,11.0,120.147,timeout,True,False,False,False,2,925,9849,11.0,0.2727272727272727,20451,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v7_no_preprocessing,无预处理 - 最小约束集,11.0,120.144,timeout,True,False,False,False,2,925,9849,11.0,0.2727272727272727,20442,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Bull,famous,TINY,5,5,v1_baseline,基线编码 - 基础ILP约束,3.0,0.008,optimal,False,False,False,False,2,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v2_explicit_transitivity,显式传递性 - 添加传递性约束,3.0,0.006,optimal,False,False,False,False,2,61,207,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v3_tight_bounds,更紧边界 - 增强邻居约束,3.0,0.006,optimal,False,False,False,False,2,61,185,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v4_with_symmetry,对称性破缺 - 减少对称解,3.0,0.005,optimal,False,False,False,False,2,61,217,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v5_enhanced_constraints,增强约束 - 组合多种改进,3.0,0.006,optimal,False,False,False,False,2,61,222,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v6_with_redundant,冗余约束 - 添加额外有效不等式,3.0,0.008,optimal,False,False,False,False,2,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v7_no_preprocessing,无预处理 - 最小约束集,3.0,0.007,optimal,False,False,False,False,2,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Butterfly,famous,TINY,5,6,v1_baseline,基线编码 - 基础ILP约束,3.0,0.005,optimal,False,False,False,False,2,61,181,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Butterfly,famous,TINY,5,6,v2_explicit_transitivity,显式传递性 - 添加传递性约束,3.0,0.006,optimal,False,False,False,False,2,61,208,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Butterfly,famous,TINY,5,6,v3_tight_bounds,更紧边界 - 增强邻居约束,3.0,0.007,optimal,False,False,False,False,2,61,186,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Butterfly,famous,TINY,5,6,v4_with_symmetry,对称性破缺 - 减少对称解,3.0,0.005,optimal,False,False,False,False,2,61,218,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Butterfly,famous,TINY,5,6,v5_enhanced_constraints,增强约束 - 组合多种改进,3.0,0.006,optimal,False,False,False,False,2,61,223,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Butterfly,famous,TINY,5,6,v6_with_redundant,冗余约束 - 添加额外有效不等式,3.0,0.006,optimal,False,False,False,False,2,61,181,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Butterfly,famous,TINY,5,6,v7_no_preprocessing,无预处理 - 最小约束集,3.0,0.005,optimal,False,False,False,False,2,61,181,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Chvatal,famous,SMALL,12,24,v1_baseline,基线编码 - 基础ILP约束,8.0,1.493,optimal,False,False,False,False,2,313,1956,8.0,0.0,467,0.3636,1,0.0,0.0,8.0,True,correct_optimal,
E4_5_variants,Chvatal,famous,SMALL,12,24,v2_explicit_transitivity,显式传递性 - 添加传递性约束,8.0,1.212,optimal,False,False,False,False,2,313,2106,8.0,0.0,450,0.3636,1,0.0,0.0,8.0,True,correct_optimal,
E4_5_variants,Chvatal,famous,SMALL,12,24,v3_tight_bounds,更紧边界 - 增强邻居约束,8.0,1.283,optimal,False,False,False,False,2,313,1968,8.0,0.0,510,0.3636,1,0.0,0.0,8.0,True,correct_optimal,
E4_5_variants,Chvatal,famous,SMALL,12,24,v4_with_symmetry,对称性破缺 - 减少对称解,8.0,1.04,optimal,False,False,False,False,2,313,2172,8.0,0.0,453,0.3636,1,0.0,0.0,8.0,True,correct_optimal,
E4_5_variants,Chvatal,famous,SMALL,12,24,v5_enhanced_constraints,增强约束 - 组合多种改进,8.0,0.994,optimal,False,False,False,False,2,313,2184,8.0,0.0,441,0.3636,1,0.0,0.0,8.0,True,correct_optimal,
E4_5_variants,Chvatal,famous,SMALL,12,24,v6_with_redundant,冗余约束 - 添加额外有效不等式,8.0,1.5,optimal,False,False,False,False,2,313,1956,8.0,0.0,467,0.3636,1,0.0,0.0,8.0,True,correct_optimal,
E4_5_variants,Chvatal,famous,SMALL,12,24,v7_no_preprocessing,无预处理 - 最小约束集,8.0,1.486,optimal,False,False,False,False,2,313,1956,8.0,0.0,467,0.3636,1,0.0,0.0,8.0,True,correct_optimal,
E4_5_variants,Clebsch,famous,SMALL,16,40,v1_baseline,基线编码 - 基础ILP约束,10.0,15.973,optimal,False,False,False,False,2,545,4472,10.0,0.0,4333,0.3333,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Clebsch,famous,SMALL,16,40,v2_explicit_transitivity,显式传递性 - 添加传递性约束,10.0,18.104,optimal,False,False,False,False,2,545,4738,10.0,0.0,4470,0.3333,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Clebsch,famous,SMALL,16,40,v3_tight_bounds,更紧边界 - 增强邻居约束,10.0,15.794,optimal,False,False,False,False,2,545,4488,10.0,0.0,4333,0.3333,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Clebsch,famous,SMALL,16,40,v4_with_symmetry,对称性破缺 - 减少对称解,10.0,18.115,optimal,False,False,False,False,2,545,4858,10.0,0.0,4721,0.3333,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Clebsch,famous,SMALL,16,40,v5_enhanced_constraints,增强约束 - 组合多种改进,10.0,16.327,optimal,False,False,False,False,2,545,4874,10.0,0.0,4178,0.3333,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Clebsch,famous,SMALL,16,40,v6_with_redundant,冗余约束 - 添加额外有效不等式,10.0,16.016,optimal,False,False,False,False,2,545,4472,10.0,0.0,4333,0.3333,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Clebsch,famous,SMALL,16,40,v7_no_preprocessing,无预处理 - 最小约束集,10.0,16.03,optimal,False,False,False,False,2,545,4472,10.0,0.0,4333,0.3333,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Desargues,famous,SMALL,20,30,v1_baseline,基线编码 - 基础ILP约束,9.0,120.159,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,103189,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Desargues,famous,SMALL,20,30,v2_explicit_transitivity,显式传递性 - 添加传递性约束,9.0,120.151,timeout,True,False,False,False,2,841,8944,9.0,0.3333333333333333,86451,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Desargues,famous,SMALL,20,30,v3_tight_bounds,更紧边界 - 增强邻居约束,10.0,120.154,timeout,True,False,False,False,2,841,8550,10.0,0.4,98576,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Desargues,famous,SMALL,20,30,v4_with_symmetry,对称性破缺 - 减少对称解,9.0,120.195,timeout,True,False,False,False,2,841,9134,9.0,0.3333333333333333,91712,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Desargues,famous,SMALL,20,30,v5_enhanced_constraints,增强约束 - 组合多种改进,9.0,120.166,timeout,True,False,False,False,2,841,9154,9.0,0.3333333333333333,93684,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Desargues,famous,SMALL,20,30,v6_with_redundant,冗余约束 - 添加额外有效不等式,9.0,120.166,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,100650,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Desargues,famous,SMALL,20,30,v7_no_preprocessing,无预处理 - 最小约束集,9.0,120.164,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,99609,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Diamond,famous,TINY,4,5,v1_baseline,基线编码 - 基础ILP约束,3.0,0.004,optimal,False,False,False,False,2,41,105,3.0,0.0,1,0.8333,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Diamond,famous,TINY,4,5,v2_explicit_transitivity,显式传递性 - 添加传递性约束,3.0,0.004,optimal,False,False,False,False,2,41,121,3.0,0.0,1,0.8333,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Diamond,famous,TINY,4,5,v3_tight_bounds,更紧边界 - 增强邻居约束,3.0,0.004,optimal,False,False,False,False,2,41,109,3.0,0.0,1,0.8333,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Diamond,famous,TINY,4,5,v4_with_symmetry,对称性破缺 - 减少对称解,3.0,0.003,optimal,False,False,False,False,2,41,127,3.0,0.0,1,0.8333,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Diamond,famous,TINY,4,5,v5_enhanced_constraints,增强约束 - 组合多种改进,3.0,0.005,optimal,False,False,False,False,2,41,131,3.0,0.0,1,0.8333,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Diamond,famous,TINY,4,5,v6_with_redundant,冗余约束 - 添加额外有效不等式,3.0,0.004,optimal,False,False,False,False,2,41,105,3.0,0.0,1,0.8333,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Diamond,famous,TINY,4,5,v7_no_preprocessing,无预处理 - 最小约束集,3.0,0.004,optimal,False,False,False,False,2,41,105,3.0,0.0,1,0.8333,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Dodecahedron,famous,SMALL,20,30,v1_baseline,基线编码 - 基础ILP约束,9.0,120.17,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,101104,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Dodecahedron,famous,SMALL,20,30,v2_explicit_transitivity,显式传递性 - 添加传递性约束,10.0,120.187,timeout,True,False,False,False,2,841,8944,10.0,0.4,99206,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Dodecahedron,famous,SMALL,20,30,v3_tight_bounds,更紧边界 - 增强邻居约束,9.0,120.204,timeout,True,False,False,False,2,841,8550,9.0,0.3333333333333333,90126,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Dodecahedron,famous,SMALL,20,30,v4_with_symmetry,对称性破缺 - 减少对称解,9.0,120.201,timeout,True,False,False,False,2,841,9134,9.0,0.3333333333333333,100273,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Dodecahedron,famous,SMALL,20,30,v5_enhanced_constraints,增强约束 - 组合多种改进,10.0,120.182,timeout,True,False,False,False,2,841,9154,10.0,0.4,95663,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Dodecahedron,famous,SMALL,20,30,v6_with_redundant,冗余约束 - 添加额外有效不等式,9.0,120.197,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,90469,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Dodecahedron,famous,SMALL,20,30,v7_no_preprocessing,无预处理 - 最小约束集,9.0,120.18,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,96272,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Durer,famous,SMALL,12,18,v1_baseline,基线编码 - 基础ILP约束,7.0,3.092,optimal,False,False,False,False,2,313,1950,7.0,0.0,4910,0.2727,1,0.0,0.0,7.0,True,correct_optimal,
E4_5_variants,Durer,famous,SMALL,12,18,v2_explicit_transitivity,显式传递性 - 添加传递性约束,7.0,2.124,optimal,False,False,False,False,2,313,2100,7.0,0.0,4333,0.2727,1,0.0,0.0,7.0,True,correct_optimal,
E4_5_variants,Durer,famous,SMALL,12,18,v3_tight_bounds,更紧边界 - 增强邻居约束,7.0,2.255,optimal,False,False,False,False,2,313,1962,7.0,0.0,4578,0.2727,1,0.0,0.0,7.0,True,correct_optimal,
E4_5_variants,Durer,famous,SMALL,12,18,v4_with_symmetry,对称性破缺 - 减少对称解,7.0,1.577,optimal,False,False,False,False,2,313,2166,7.0,0.0,3056,0.2727,1,0.0,0.0,7.0,True,correct_optimal,
E4_5_variants,Durer,famous,SMALL,12,18,v5_enhanced_constraints,增强约束 - 组合多种改进,7.0,1.813,optimal,False,False,False,False,2,313,2178,7.0,0.0,2959,0.2727,1,0.0,0.0,7.0,True,correct_optimal,
E4_5_variants,Durer,famous,SMALL,12,18,v6_with_redundant,冗余约束 - 添加额外有效不等式,7.0,3.119,optimal,False,False,False,False,2,313,1950,7.0,0.0,4910,0.2727,1,0.0,0.0,7.0,True,correct_optimal,
E4_5_variants,Durer,famous,SMALL,12,18,v7_no_preprocessing,无预处理 - 最小约束集,7.0,3.063,optimal,False,False,False,False,2,313,1950,7.0,0.0,4910,0.2727,1,0.0,0.0,7.0,True,correct_optimal,
E4_5_variants,Errera,famous,SMALL,17,45,v1_baseline,基线编码 - 基础ILP约束,10.0,27.19,optimal,False,False,False,False,2,613,5332,10.0,0.0,7115,0.3309,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Errera,famous,SMALL,17,45,v2_explicit_transitivity,显式传递性 - 添加传递性约束,10.0,22.203,optimal,False,False,False,False,2,613,5632,10.0,0.0,5125,0.3309,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Errera,famous,SMALL,17,45,v3_tight_bounds,更紧边界 - 增强邻居约束,10.0,20.909,optimal,False,False,False,False,2,613,5349,10.0,0.0,4961,0.3309,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Errera,famous,SMALL,17,45,v4_with_symmetry,对称性破缺 - 减少对称解,10.0,20.155,optimal,False,False,False,False,2,613,5768,10.0,0.0,5658,0.3309,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Errera,famous,SMALL,17,45,v5_enhanced_constraints,增强约束 - 组合多种改进,10.0,30.159,optimal,False,False,False,False,2,613,5785,10.0,0.0,8042,0.3309,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Errera,famous,SMALL,17,45,v6_with_redundant,冗余约束 - 添加额外有效不等式,10.0,27.123,optimal,False,False,False,False,2,613,5332,10.0,0.0,7115,0.3309,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,Errera,famous,SMALL,17,45,v7_no_preprocessing,无预处理 - 最小约束集,10.0,27.29,optimal,False,False,False,False,2,613,5332,10.0,0.0,7115,0.3309,1,0.0,0.0,10.0,True,correct_optimal,
E4_5_variants,FlowerSnark,famous,SMALL,20,30,v1_baseline,基线编码 - 基础ILP约束,9.0,120.149,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,59809,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,FlowerSnark,famous,SMALL,20,30,v2_explicit_transitivity,显式传递性 - 添加传递性约束,10.0,120.157,timeout,True,False,False,False,2,841,8944,10.0,0.4,55399,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,FlowerSnark,famous,SMALL,20,30,v3_tight_bounds,更紧边界 - 增强邻居约束,9.0,120.16,timeout,True,False,False,False,2,841,8550,9.0,0.3333333333333333,55639,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,FlowerSnark,famous,SMALL,20,30,v4_with_symmetry,对称性破缺 - 减少对称解,10.0,120.197,timeout,True,False,False,False,2,841,9134,10.0,0.4,60597,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,FlowerSnark,famous,SMALL,20,30,v5_enhanced_constraints,增强约束 - 组合多种改进,9.0,120.183,timeout,True,False,False,False,2,841,9154,9.0,0.3333333333333333,59541,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,FlowerSnark,famous,SMALL,20,30,v6_with_redundant,冗余约束 - 添加额外有效不等式,9.0,120.145,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,58763,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,FlowerSnark,famous,SMALL,20,30,v7_no_preprocessing,无预处理 - 最小约束集,9.0,120.186,timeout,True,False,False,False,2,841,8530,9.0,0.3333333333333333,59973,0.1579,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Folkman,famous,SMALL,20,40,v1_baseline,基线编码 - 基础ILP约束,10.0,120.158,timeout,True,False,False,False,2,841,8540,10.0,0.4,37763,0.2105,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Folkman,famous,SMALL,20,40,v2_explicit_transitivity,显式传递性 - 添加传递性约束,10.0,120.143,timeout,True,False,False,False,2,841,8954,10.0,0.4,43469,0.2105,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Folkman,famous,SMALL,20,40,v3_tight_bounds,更紧边界 - 增强邻居约束,10.0,120.16,timeout,True,False,False,False,2,841,8560,10.0,0.3,55489,0.2105,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Folkman,famous,SMALL,20,40,v4_with_symmetry,对称性破缺 - 减少对称解,10.0,120.161,timeout,True,False,False,False,2,841,9144,10.0,0.3,58141,0.2105,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Folkman,famous,SMALL,20,40,v5_enhanced_constraints,增强约束 - 组合多种改进,10.0,120.153,timeout,True,False,False,False,2,841,9164,10.0,0.3,52185,0.2105,1,0.0,0.0,9.0,False,error,timeout_not_optimal
E4_5_variants,Folkman,famous,SMALL,20,40,v6_with_redundant,冗余约束 - 添加额外有效不等式,10.0,120.137,timeout,True,False,False,False,2,841,8540,10.0,0.4,39998,0.2105,1,0.0,0.0,9.0,False,error,timeout_not_optimal
